item_id,item_name,category,restock_date,purchase_price,item_cnt,total_amount,location,condition,status,assigned_to,last_audit_date,notes,image_url
46,Desktop PC,electronics,2024-08-12,1200.00,10,12000.00,3k,good,Assigned,Various,2024-11-10,,http://example.com/desktop.jpg
47,Printer Laser,office,2024-06-05,650.00,4,2600.00,3k,good,In use,Office,2024-11-08,Toner low,http://example.com/printer.jpg
48,Paper Ream,supplies,2024-11-08,25.00,100,2500.00,3k,new,Storage,,2024-11-12,Monthly supply,http://example.com/paper.jpg
49,Filing Cabinet,furniture,2024-03-15,280.00,8,2240.00,3k,good,In use,Office,2024-10-20,,http://example.com/cabinet.jpg
50,Phone Headset,electronics,2024-09-18,80.00,15,1200.00,3k,good,Assigned,Customer_Service,2024-11-09,,http://example.com/headset.jpg
51,Webcam HD,electronics,2024-07-22,95.00,12,1140.00,3k,good,Assigned,Various,2024-11-05,Video conferencing,http://example.com/webcam.jpg
52,Desk Lamp,office,2024-05-10,35.00,20,700.00,3k,good,In use,Office,2024-10-28,,http://example.com/lamp.jpg
53,Surge Protector,power,2024-10-01,22.00,25,550.00,3k,new,Storage,,2024-11-12,,http://example.com/surge.jpg
54,Stapler,supplies,2024-04-20,15.00,18,270.00,3k,fair,In use,Office,2024-10-15,Some jammed,http://example.com/stapler.jpg
55,Notebook Set,supplies,2024-09-25,8.00,50,400.00,3k,new,Storage,,2024-11-12,Office supplies,http://example.com/notebook.jpg
56,Dry Erase Markers,supplies,2024-10-28,12.00,30,360.00,3k,new,Storage,,2024-11-12,Assorted colors,http://example.com/markers.jpg
57,Shredder,office,2024-02-18,180.00,3,540.00,3k,good,In use,Office,2024-11-01,Cross-cut,http://example.com/shredder.jpg
58,Conference Phone,electronics,2024-06-30,320.00,5,1600.00,3k,good,In use,Conference,2024-11-07,,http://example.com/confphone.jpg
59,Document Scanner,electronics,2024-08-08,280.00,3,840.00,3k,good,In use,Office,2024-11-03,,http://example.com/scanner.jpg
60,Binder Set,supplies,2024-10-15,3.00,100,300.00,3k,new,Storage,,2024-11-12,1 inch and 2 inch,http://example.com/binder.jpg
